Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPosition
1,Christian McCaffrey,CAR,13,25,RB,RB1,1.3,1.3,1.3,1.3,1.3,1.3
2,Dalvin Cook,MIN,7,26,RB,RB2,2.6,2.6,2.6,2.4,2.7,2.6
3,Derrick Henry,TEN,13,27,RB,RB3,3.2,3.2,3.2,2.1,3.4,3.2
4,Alvin Kamara,NO,6,26,RB,RB4,4.1,4.1,4.1,4.1,5,4.1
5,Ezekiel Elliott,DAL,7,26,RB,RB5,5.5,5.5,5.5,5,9.3,5.5
6,Nick Chubb,CLE,13,25,RB,RB6,6.1,6.1,6.1,5,8.2,6.1
7,Aaron Jones,GB,13,26,RB,RB7,7.3,7.3,7.3,7.1,11.2,7.3
8,Davante Adams,GB,13,28,WR,WR1,7.6,7.6,7.6,7.2,12.9,7.6
9,Jonathan Taylor,IND,14,22,RB,RB8,8.4,8.4,8.4,6.4,10.2,8.4
10,Travis Kelce,KC,12,32,TE,TE1,9.5,9.5,9.5,7.3,11.2,9.5
11,Saquon Barkley,NYG,10,24,RB,RB9,10.9,10.9,10.9,4.1,10.9,10.9
12,Tyreek Hill,KC,12,27,WR,WR2,11.3,11.3,11.3,8.8,11.6,11.3
13,Najee Harris,PIT,7,23,RB,RB10,12.4,12.4,12.4,12.3,99.2,12.4
14,Austin Ekeler,LAC,7,26,RB,RB11,13.1,13.1,13.1,12.2,22.6,13.1
15,Antonio Gibson,WAS,9,23,RB,RB12,13.3,13.3,13.3,13.1,16.4,13.3
16,Patrick Mahomes,KC,12,26,QB,QB1,14.7,14.7,14.7,14.1,16.4,14.7
17,Stefon Diggs,BUF,7,27,WR,WR3,15.8,15.8,15.8,13.5,16,15.8
18,Joe Mixon,CIN,10,25,RB,RB13,17.1,17.1,17.1,17.1,24.4,17.1
19,DK Metcalf,SEA,9,23,WR,WR4,17.7,17.7,17.7,15.7,18.8,17.7
20,Clyde Edwards-Helaire,KC,12,22,RB,RB14,18.7,18.7,18.7,17.3,45.3,18.7
21,Calvin Ridley,ATL,6,26,WR,WR5,20.3,20.3,20.3,20.3,23.2,20.3
22,DeAndre Hopkins,ARI,12,29,WR,WR6,21.3,21.3,21.3,15.3,21.3,21.3
23,Darren Waller,LV,8,29,TE,TE2,22.1,22.1,22.1,20.8,29,22.1
24,Justin Jefferson,MIN,7,22,WR,WR7,23.1,23.1,23.1,23,30.8,23.1
25,David Montgomery,CHI,10,24,RB,RB15,23.7,23.7,23.7,23.7,36.6,23.7
26,A.J. Brown,TEN,13,24,WR,WR8,25,25,25,22,25.8,25
27,Josh Jacobs,LV,8,23,RB,RB16,25.8,25.8,25.8,12.9,25.8,25.8
28,Josh Allen,BUF,7,25,QB,QB2,26.6,26.6,26.6,26.4,34.9,26.6
29,Chris Carson,SEA,9,27,RB,RB17,28.4,28.4,28.4,27.8,32.2,28.4
30,James Robinson,JAX,7,23,RB,RB18,28.6,28.6,28.6,15.5,38.4,28.6
31,George Kittle,SF,6,28,TE,TE3,30.2,30.2,30.2,16.6,30.8,30.2
32,Keenan Allen,LAC,7,29,WR,WR9,30.7,30.7,30.7,28.9,32.1,30.7
33,CeeDee Lamb,DAL,7,22,WR,WR10,31.2,31.2,31.2,31.2,51.8,31.2
34,Terry McLaurin,WAS,9,26,WR,WR11,31.9,31.9,31.9,31.1,38.5,31.9
35,Miles Sanders,PHI,14,24,RB,RB19,34.1,34.1,34.1,25.9,35,34.1
36,Mike Evans,TB,9,28,WR,WR12,35.9,35.9,35.9,30.4,38.4,35.9
37,Kyler Murray,ARI,12,24,QB,QB3,36.2,36.2,36.2,36.1,39.9,36.2
38,D'Andre Swift,DET,9,22,RB,RB20,36.4,36.4,36.4,30.5,41.3,36.4
39,Allen Robinson II,CHI,10,28,WR,WR13,36.8,36.8,36.8,36.8,42.8,36.8
40,Darrell Henderson Jr.,LAR,11,24,RB,RB21,37.3,37.3,37.3,36.8,161.4,37.3
41,Kyle Pitts,ATL,6,21,TE,TE4,40.2,40.2,40.2,40.2,126.2,40.2
42,Robert Woods,LAR,11,29,WR,WR14,40.3,40.3,40.3,40.3,57.3,40.3
43,Myles Gaskin,MIA,14,24,RB,RB22,40.9,40.9,40.9,39.5,62.4,40.9
44,Julio Jones,TEN,13,32,WR,WR15,43.1,43.1,43.1,35,43.3,43.1
45,Mike Davis,ATL,6,28,RB,RB23,43.4,43.4,43.4,43.4,98,43.4
46,Lamar Jackson,BAL,8,24,QB,QB4,44.6,44.6,44.6,44.2,51.9,44.6
47,Amari Cooper,DAL,7,27,WR,WR16,45.2,45.2,45.2,45.2,53.9,45.2
48,Javonte Williams,DEN,11,21,RB,RB24,47.2,47.2,47.2,47.2,130.6,47.2
49,Chris Godwin,TB,9,25,WR,WR17,47.3,47.3,47.3,43.8,50.8,47.3
50,Adam Thielen,MIN,7,31,WR,WR18,48.5,48.5,48.5,36.6,48.5,48.5
51,Damien Harris,NE,14,24,RB,RB25,49.5,49.5,49.5,49.5,102.5,49.5
51,Mark Andrews,BAL,8,26,TE,TE5,49.5,49.5,49.5,48.6,66.6,49.5
53,Raheem Mostert,SF,6,29,RB,RB26,50.3,50.3,50.3,43.2,53.5,50.3
54,Gus Edwards,BAL,8,26,RB,RB27,51.5,51.5,51.5,51.5,113.5,51.5
55,Aaron Rodgers,GB,13,37,QB,QB5,52.3,52.3,52.3,46.2,65.8,52.3
56,Kareem Hunt,CLE,13,26,RB,RB28,53.3,53.3,53.3,37.1,53.3,53.3
57,Cooper Kupp,LAR,11,28,WR,WR19,54,54,54,52.8,67.2,54
58,Dak Prescott,DAL,7,28,QB,QB6,54.8,54.8,54.8,41.1,55.7,54.8
59,Tyler Lockett,SEA,9,29,WR,WR20,55.7,55.7,55.7,51.1,64,55.7
59,T.J. Hockenson,DET,9,24,TE,TE6,55.7,55.7,55.7,52.9,62.3,55.7
61,Brandon Aiyuk,SF,6,23,WR,WR21,57.7,57.7,57.7,57.2,74.6,57.7
62,Diontae Johnson,PIT,7,25,WR,WR22,59.5,59.5,59.5,54.4,64.4,59.5
63,Justin Herbert,LAC,7,23,QB,QB7,61.3,61.3,61.3,51.2,61.3,61.3
64,Russell Wilson,SEA,9,32,QB,QB8,63.4,63.4,63.4,46.6,63.4,63.4
65,Chase Edmonds,ARI,12,25,RB,RB29,64,64,64,58.6,69.2,64
66,DJ Moore,CAR,13,24,WR,WR23,65,65,65,64.7,69.1,65
67,Trey Sermon,SF,6,22,RB,RB30,65.7,65.7,65.7,65.7,152.2,65.7
68,Chase Claypool,PIT,7,23,WR,WR24,66.1,66.1,66.1,60.7,73.3,66.1
69,Odell Beckham Jr.,CLE,11,29,WR,WR25,68.6,68.6,68.6,55.4,70.6,68.6
70,Logan Thomas,WAS,9,30,TE,TE7,68.7,68.7,68.7,68.7,106.8,68.7
71,Jerry Jeudy,DEN,11,22,WR,WR26,69,69,69,69,134.9,69
72,Michael Thomas,NO,6,28,WR,WR27,69.1,69.1,69.1,26.8,69.1,69.1
73,Tee Higgins,CIN,10,22,WR,WR28,70,70,70,69,78.3,70
74,Tom Brady,TB,9,44,QB,QB9,71.8,71.8,71.8,71.8,89.2,71.8
75,Melvin Gordon III,DEN,11,28,RB,RB31,73,73,73,45.3,73,73
76,Ronald Jones II,TB,9,24,RB,RB32,74.6,74.6,74.6,53.1,74.6,74.6
77,AJ Dillon,GB,13,23,RB,RB33,75.2,75.2,75.2,75.2,90,75.2
78,Ja'Marr Chase,CIN,10,21,WR,WR29,76.7,76.7,76.7,55.7,136,76.7
79,Robert Tonyan,GB,13,27,TE,TE8,77.1,77.1,77.1,77.1,145.9,77.1
80,Zack Moss,BUF,7,23,RB,RB34,77.3,77.3,77.3,74.2,118.6,77.3
81,Antonio Brown,TB,9,33,WR,WR30,78.1,78.1,78.1,78.1,116.4,78.1
82,DeVonta Smith,PHI,14,23,WR,WR31,80.8,80.8,80.8,77.6,144.8,80.8
83,Rob Gronkowski,TB,9,32,TE,TE9,81,81,81,75.3,87.4,81
84,Michael Carter,NYJ,6,22,RB,RB35,81.1,81.1,81.1,77.6,136.5,81.1
85,Matthew Stafford,LAR,11,33,QB,QB10,82.5,82.5,82.5,78.4,101.1,82.5
86,Courtland Sutton,DEN,11,26,WR,WR32,84.2,84.2,84.2,82.1,101.6,84.2
87,Kenny Golladay,NYG,10,28,WR,WR33,84.6,84.6,84.6,49,84.6,84.6
88,Leonard Fournette,TB,9,26,RB,RB36,84.9,84.9,84.9,65.7,84.9,84.9
89,Robby Anderson,CAR,13,28,WR,WR34,86.6,86.6,86.6,86.6,93.6,86.6
90,JuJu Smith-Schuster,PIT,7,24,WR,WR35,86.7,86.7,86.7,74.1,89,86.7
91,Devin Singletary,BUF,7,24,RB,RB37,87,87,87,81.2,98.2,87
92,Ryan Tannehill,TEN,13,33,QB,QB11,88.3,88.3,88.3,78.3,97.5,88.3
93,James Conner,ARI,12,26,RB,RB38,89.1,89.1,89.1,70.9,89.1,89.1
94,Sony Michel,LAR,11,26,RB,RB39,90.4,90.4,90.4,90.4,162.4,90.4
95,Deebo Samuel,SF,6,25,WR,WR36,90.9,90.9,90.9,90,105.5,90.9
96,Michael Pittman Jr.,IND,14,24,WR,WR37,92,92,92,92,108.6,92
97,Noah Fant,DEN,11,24,TE,TE10,92.6,92.6,92.6,92.6,151.8,92.6
98,Laviska Shenault Jr.,JAX,7,23,WR,WR38,92.9,92.9,92.9,92.9,130.8,92.9
99,Jalen Hurts,PHI,14,23,QB,QB12,95,95,95,78.3,95,95
100,Jamaal Williams,DET,9,26,RB,RB40,95.1,95.1,95.1,93.3,147.6,95.1
101,Mecole Hardman,KC,12,23,WR,WR39,96.2,96.2,96.2,96.2,147.2,96.2
102,Marquez Callaway,NO,6,23,WR,WR40,97.9,97.9,97.9,97.9,274,97.9
103,Dallas Goedert,PHI,14,26,TE,TE11,100.4,100.4,100.4,81.4,124.9,100.4
104,Tyler Boyd,CIN,10,27,WR,WR41,102,102,102,66.4,102,102
105,Tony Pollard,DAL,7,24,RB,RB41,102.9,102.9,102.9,99.1,121.3,102.9
106,David Johnson,HOU,10,29,RB,RB42,103.8,103.8,103.8,70.1,103.8,103.8
107,Pittsburgh Steelers,PIT,7,null,DST,DST1,103.9,103.9,103.9,99.4,106,103.9
108,Kenyan Drake,LV,8,27,RB,RB43,104.5,104.5,104.5,68.6,104.5,104.5
109,Los Angeles Rams,LAR,11,null,DST,DST2,105.3,105.3,105.3,105.3,116.1,105.3
110,DJ Chark Jr.,JAX,7,25,WR,WR42,105.9,105.9,105.9,73.5,105.9,105.9
110,Corey Davis,NYJ,6,26,WR,WR43,105.9,105.9,105.9,103,140.4,105.9
112,Mike Williams,LAC,7,27,WR,WR44,108.3,108.3,108.3,102.8,124.8,108.3
113,Joe Burrow,CIN,10,24,QB,QB13,108.8,108.8,108.8,75,108.8,108.8
114,Phillip Lindsay,HOU,10,27,RB,RB44,110.2,110.2,110.2,106.1,133.2,110.2
115,Alexander Mattison,MIN,7,23,RB,RB45,110.5,110.5,110.5,103.5,122.9,110.5
116,Tyler Higbee,LAR,11,28,TE,TE12,111.2,111.2,111.2,111.2,150.1,111.2
117,Jaylen Waddle,MIA,14,22,WR,WR45,111.5,111.5,111.5,105,151.8,111.5
118,Brandin Cooks,HOU,10,28,WR,WR46,114,114,114,76.9,119.7,114
119,Tampa Bay Buccaneers,TB,9,null,DST,DST3,115.3,115.3,115.3,115.3,127.2,115.3
120,Rhamondre Stevenson,NE,14,23,RB,RB46,116,116,116,116,326,116
121,Washington Football Team,WAS,9,null,DST,DST4,116.9,116.9,116.9,113.7,120.2,116.9
122,Jarvis Landry,CLE,13,28,WR,WR47,118.3,118.3,118.3,76.3,118.3,118.3
123,Darnell Mooney,CHI,10,24,WR,WR48,118.8,118.8,118.8,118.8,163.1,118.8
124,Trey Lance,SF,6,21,QB,QB14,119.5,119.5,119.5,118.8,224,119.5
125,Mike Gesicki,MIA,14,26,TE,TE13,121.2,121.2,121.2,112.8,124.1,121.2
126,Matt Ryan,ATL,6,36,QB,QB15,121.6,121.6,121.6,108,123.6,121.6
127,Chuba Hubbard,CAR,13,22,RB,RB47,122.4,122.4,122.4,120.3,217,122.4
128,Justin Fields,CHI,10,22,QB,QB16,124.4,124.4,124.4,124,170.3,124.4
128,Tevin Coleman,NYJ,6,28,RB,RB48,124.4,124.4,124.4,124.4,162.7,124.4
130,Trevor Lawrence,JAX,7,22,QB,QB17,124.7,124.7,124.7,107,145.2,124.7
131,Baltimore Ravens,BAL,8,null,DST,DST5,125.4,125.4,125.4,101.1,127.4,125.4
132,William Fuller V,MIA,14,27,WR,WR49,125.7,125.7,125.7,62.9,125.7,125.7
133,Latavius Murray,NO,8,31,RB,RB49,126.5,126.5,126.5,95.5,126.5,126.5
134,San Francisco 49ers,SF,6,null,DST,DST6,127.5,127.5,127.5,127.5,138.4,127.5
135,Harrison Butker,KC,12,26,K,K1,129,129,129,128.3,143.3,129
136,Marquise Brown,BAL,8,24,WR,WR50,129.6,129.6,129.6,90.7,129.6,129.6
137,Jakobi Meyers,NE,14,25,WR,WR51,131.5,131.5,131.5,131.5,258,131.5
138,Baker Mayfield,CLE,13,26,QB,QB18,131.6,131.6,131.6,127.3,152.6,131.6
139,Nyheim Hines,IND,14,25,RB,RB50,132.4,132.4,132.4,108.6,132.4,132.4
140,Henry Ruggs III,LV,null,22,WR,WR52,132.7,132.7,132.7,125.7,145.3,132.7
141,J.D. McKissic,WAS,9,28,RB,RB51,132.8,132.8,132.8,104.4,137.7,132.8
142,Jonnu Smith,NE,14,26,TE,TE14,133.4,133.4,133.4,104.5,147.2,133.4
142,Rashaad Penny,SEA,9,25,RB,RB52,133.4,133.4,133.4,125.1,140.3,133.4
144,New York Giants,NYG,10,null,DST,DST7,133.5,133.5,133.5,133.5,190,133.5
145,Justin Tucker,BAL,8,31,K,K2,134.7,134.7,134.7,121.4,143.8,134.7
145,Michael Gallup,DAL,7,25,WR,WR53,134.7,134.7,134.7,127,137.1,134.7
147,Buffalo Bills,BUF,7,null,DST,DST8,136.3,136.3,136.3,129.4,144.1,136.3
148,Jameis Winston,NO,6,27,QB,QB19,137.1,137.1,137.1,134.2,163.3,137.1
149,Marvin Jones Jr.,JAX,7,31,WR,WR54,138,138,138,112,154.6,138
150,Elijah Moore,NYJ,6,21,WR,WR55,138.2,138.2,138.2,132.2,196,138.2
151,New England Patriots,NE,14,null,DST,DST9,139,139,139,139,159.6,139
152,Bryan Edwards,LV,8,23,WR,WR56,139.5,139.5,139.5,139.5,290,139.5
152,Dallas Cowboys,DAL,7,null,DST,DST10,139.5,139.5,139.5,139.5,184,139.5
154,Younghoe Koo,ATL,6,27,K,K3,140.7,140.7,140.7,137.9,151.4,140.7
155,Ben Roethlisberger,PIT,7,39,QB,QB20,142.7,142.7,142.7,107,160.9,142.7
156,Tyler Bass,BUF,7,24,K,K4,143.8,143.8,143.8,139.6,172.3,143.8
157,Ryan Succop,TB,9,35,K,K5,144.4,144.4,144.4,142.7,170.6,144.4
157,Indianapolis Colts,IND,14,null,DST,DST11,144.4,144.4,144.4,119.6,144.4,144.4
159,Giovani Bernard,TB,9,29,RB,RB53,144.7,144.7,144.7,143,172.1,144.7
160,Rodrigo Blankenship,IND,14,24,K,K6,145.1,145.1,145.1,141.7,158.1,145.1
161,Darrel Williams,KC,12,26,RB,RB54,145.3,145.3,145.3,145.3,195,145.3
162,Greg Zuerlein,DAL,7,33,K,K7,146.5,146.5,146.5,142.8,165.2,146.5
163,Curtis Samuel,WAS,9,25,WR,WR57,147.7,147.7,147.7,109.2,147.7,147.7
164,Kenneth Gainwell,PHI,14,22,RB,RB55,147.8,147.8,147.8,147.8,298,147.8
165,Jason Sanders,MIA,14,26,K,K8,148.1,148.1,148.1,142.6,167.6,148.1
166,Kansas City Chiefs,KC,12,null,DST,DST12,149.8,149.8,149.8,149.8,172.7,149.8
167,Hunter Henry,NE,14,26,TE,TE15,150.2,150.2,150.2,74.7,150.2,150.2
168,Mason Crosby,GB,13,37,K,K9,150.3,150.3,150.3,150.3,175.2,150.3
169,Wayne Gallman,ATL,6,27,RB,RB56,150.4,150.4,150.4,111.5,322,150.4
170,Tony Jones Jr.,NO,6,23,RB,RB57,150.6,150.6,150.6,150.6,767,150.6
171,Jared Cook,LAC,7,34,TE,TE16,151,151,151,136.7,165.8,151
172,Malcolm Brown,MIA,14,28,RB,RB58,151.1,151.1,151.1,151.1,291,151.1
173,Evan Engram,NYG,10,27,TE,TE17,151.9,151.9,151.9,88.5,153.1,151.9
174,Kirk Cousins,MIN,7,33,QB,QB21,152,152,152,133.8,158.1,152
175,Cole Beasley,BUF,7,32,WR,WR58,152.6,152.6,152.6,95.4,161.1,152.6
176,Gerald Everett,SEA,9,27,TE,TE18,153.3,153.3,153.3,143.5,167.3,153.3
177,Devontae Booker,NYG,10,29,RB,RB59,153.6,153.6,153.6,135.1,236,153.6
178,Denver Broncos,DEN,11,null,DST,DST13,154.2,154.2,154.2,149.3,167.4,154.2
179,A.J. Green,ARI,12,33,WR,WR59,154.6,154.6,154.6,151.8,166.4,154.6
180,Tua Tagovailoa,MIA,14,23,QB,QB22,154.8,154.8,154.8,152.5,165.3,154.8
181,DeVante Parker,MIA,14,28,WR,WR60,155,155,155,71.3,159.6,155
182,Matt Prater,ARI,12,37,K,K10,155.1,155.1,155.1,148.1,173.8,155.1
182,Gabriel Davis,BUF,7,22,WR,WR61,155.1,155.1,155.1,151.5,167.1,155.1
184,Mark Ingram II,HOU,6,31,RB,RB60,155.2,155.2,155.2,117.8,155.2,155.2
185,New Orleans Saints,NO,6,null,DST,DST14,155.5,155.5,155.5,155.5,179.2,155.5
186,Pat Freiermuth,PIT,7,23,TE,TE19,155.8,155.8,155.8,142.7,514,155.8
187,Randall Cobb,GB,13,31,WR,WR62,156.1,156.1,156.1,150,206,156.1
188,Seattle Seahawks,SEA,9,null,DST,DST15,156.2,156.2,156.2,138.3,156.2,156.2
189,Deshaun Watson,HOU,10,26,QB,QB23,156.3,156.3,156.3,41.1,156.3,156.3
189,Arizona Cardinals,ARI,12,null,DST,DST16,156.3,156.3,156.3,156.3,165.8,156.3
191,Russell Gage,ATL,6,25,WR,WR63,156.4,156.4,156.4,155.3,167.7,156.4
192,Chicago Bears,CHI,10,null,DST,DST17,156.7,156.7,156.7,156.7,177.9,156.7
193,Marquez Valdes-Scantling,GB,13,27,WR,WR64,156.8,156.8,156.8,144.3,267,156.8
194,Ryan Fitzpatrick,WAS,9,38,QB,QB24,157.1,157.1,157.1,147.1,167.7,157.1
194,Rondale Moore,ARI,12,21,WR,WR65,157.1,157.1,157.1,127.8,253,157.1
196,Mac Jones,NE,14,23,QB,QB25,157.4,157.4,157.4,156.7,336,157.4
197,Cleveland Browns,CLE,13,null,DST,DST18,157.9,157.9,157.9,151.7,165.1,157.9
198,Matt Gay,LAR,11,27,K,K11,159.2,159.2,159.2,155.7,428,159.2
199,Brandon McManus,DEN,11,30,K,K12,159.7,159.7,159.7,159.7,441,159.7
200,Zach Wilson,NYJ,6,22,QB,QB26,160.1,160.1,160.1,153.3,269,160.1
201,Justin Jackson,LAC,7,25,RB,RB61,160.5,160.5,160.5,149.9,171.2,160.5
201,Marlon Mack,IND,14,25,RB,RB62,160.5,160.5,160.5,140.1,164.4,160.5
203,J.J. Taylor,NE,14,23,RB,RB63,161.3,161.3,161.3,153,550,161.3
204,Jason Myers,SEA,9,30,K,K13,161.6,161.6,161.6,161.6,176.6,161.6
205,Amon-Ra St. Brown,DET,9,22,WR,WR66,162.3,162.3,162.3,160.9,268,162.3
206,James White,NE,14,29,RB,RB64,163.1,163.1,163.1,142.1,163.1,163.1
207,Terrace Marshall Jr.,CAR,13,21,WR,WR67,163.4,163.4,163.4,153.7,256,163.4
207,Miami Dolphins,MIA,14,null,DST,DST19,163.4,163.4,163.4,148.6,163.8,163.4
209,Carolina Panthers,CAR,13,null,DST,DST20,164.1,164.1,164.1,162,185,164.1
210,Daniel Carlson,LV,8,26,K,K14,165.6,165.6,165.6,154,169.1,165.6
211,Robbie Gould,SF,6,38,K,K15,166,166,166,166,174.7,166
212,Los Angeles Chargers,LAC,7,null,DST,DST21,167.2,167.2,167.2,159.4,179.1,167.2
213,Green Bay Packers,GB,13,null,DST,DST22,168,168,168,165.2,168,168
214,Carson Wentz,IND,14,28,QB,QB27,169.5,169.5,169.5,125.6,192,169.5
215,Nelson Agholor,NE,14,28,WR,WR68,171,171,171,130.8,174,171
216,Tyrell Williams,DET,null,29,WR,WR69,172,172,172,172,252,172
217,Minnesota Vikings,MIN,7,null,DST,DST23,172.3,172.3,172.3,149.9,180,172.3
218,Tre'Quan Smith,NO,6,25,WR,WR70,173,173,173,159.1,218,173
219,Emmanuel Sanders,BUF,7,34,WR,WR71,174,174,174,152.3,176,174
220,Jalen Reagor,PHI,14,22,WR,WR72,175,175,175,175,255,175
221,Sterling Shepard,NYG,10,28,WR,WR73,176,176,176,124.5,257,176
222,Parris Campbell,IND,14,24,WR,WR74,177,177,177,161.6,261,177
223,Nico Collins,HOU,10,22,WR,WR75,178,178,178,178,283,178
224,Philadelphia Eagles,PHI,14,null,DST,DST24,179,179,179,179,179,179
224,Jamison Crowder,NYJ,6,28,WR,WR76,179,179,179,99.4,260,179
226,Darius Slayton,NYG,10,24,WR,WR77,180,180,180,151,269,180
227,Derek Carr,LV,8,30,QB,QB28,181,181,181,131.3,182,181
227,New York Jets,NYJ,6,null,DST,DST25,181,181,181,181,181,181
229,Jacksonville Jaguars,JAX,7,null,DST,DST26,182,182,182,182,182,182
229,Ty'Son Williams,BAL,8,25,RB,RB65,182,182,182,182,531,182
231,Tennessee Titans,TEN,13,null,DST,DST27,183,183,183,183,183,183
231,Van Jefferson,LAR,11,25,WR,WR78,183,183,183,181,262,183
233,Daniel Jones,NYG,10,24,QB,QB29,184,184,184,160.5,261,184
234,Sammy Watkins,BAL,8,28,WR,WR79,185,185,185,156.2,280,185
235,Detroit Lions,DET,9,null,DST,DST28,186,186,186,186,186,186
235,Quintez Cephus,DET,9,23,WR,WR80,186,186,186,186,284,186
237,Sam Darnold,CAR,13,24,QB,QB30,187,187,187,186,266,187
237,Houston Texans,HOU,10,null,DST,DST29,187,187,187,187,187,187
239,Cincinnati Bengals,CIN,10,null,DST,DST30,188,188,188,188,188,188
239,DeSean Jackson,LAR,8,34,WR,WR81,188,188,188,154.6,268,188
241,Las Vegas Raiders,LV,8,null,DST,DST31,189,189,189,189,189,189
241,Zach Pascal,IND,14,26,WR,WR82,189,189,189,189,273,189
243,Christian Kirk,ARI,12,25,WR,WR83,190,190,190,160.9,263,190
244,Atlanta Falcons,ATL,6,null,DST,DST32,191,191,191,191,191,191
244,Donovan Peoples-Jones,CLE,13,22,WR,WR84,191,191,191,166.6,299,191
246,Hunter Renfrow,LV,8,25,WR,WR85,192,192,192,188,282,192
247,Jared Goff,DET,9,27,QB,QB31,193,193,193,161.2,270,193
248,Joshua Palmer,LAC,7,22,WR,WR86,194,194,194,194,327,194
249,Keelan Cole,NYJ,6,28,WR,WR87,195,195,195,185,263,195
250,Dee Eskridge,SEA,9,24,WR,WR88,196,196,196,196,274,196
251,Jalen Guyton,LAC,7,24,WR,WR89,197,197,197,193,279,197
252,Demarcus Robinson,KC,12,27,WR,WR90,198,198,198,198,294,198
253,KJ Hamler,DEN,11,22,WR,WR91,199,199,199,185,287,199
254,Byron Pringle,KC,12,28,WR,WR92,200,200,200,200,300,200
255,Teddy Bridgewater,DEN,11,29,QB,QB32,201,201,201,164.3,309,201
256,Carlos Hyde,JAX,7,31,RB,RB66,202,202,202,154.3,333,202
257,Quez Watkins,PHI,14,23,WR,WR93,203,203,203,198,359,203
258,Chris Conley,HOU,10,29,WR,WR94,204,204,204,191,304,204
259,Damien Williams,CHI,10,29,RB,RB67,205,205,205,119.1,205,205
260,Kendrick Bourne,NE,14,26,WR,WR95,206,206,206,203,295,206
261,Denzel Mims,NYJ,6,24,WR,WR96,207,207,207,155.7,290,207
262,James Washington,PIT,7,25,WR,WR97,208,208,208,189,277,208
263,Anthony Miller,HOU,7,27,WR,WR98,209,209,209,183,289,209
264,Josh Reynolds,TEN,9,26,WR,WR99,210,210,210,182,288,210
265,Allen Lazard,GB,13,25,WR,WR100,211,211,211,185,275,211
266,Rashard Higgins,CLE,13,27,WR,WR101,212,212,212,170,272,212
267,Kalif Raymond,DET,9,27,WR,WR102,213,213,213,213,450,213
268,Kadarius Toney,NYG,10,22,WR,WR103,214,214,214,189,277,214
269,Salvon Ahmed,MIA,14,22,RB,RB68,215,215,215,202,297,215
270,Deonte Harris,NO,6,23,WR,WR104,216,216,216,216,310,216
271,Ty Johnson,NYJ,6,24,RB,RB69,217,217,217,154.8,308,217
272,Olamide Zaccheaus,ATL,6,24,WR,WR105,218,218,218,206,286,218
273,Dyami Brown,WAS,9,22,WR,WR106,219,219,219,199,307,219
274,Breshad Perriman,CHI,9,28,WR,WR107,220,220,220,172,254,220
275,Cordarrelle Patterson,ATL,6,30,RB,RB70,221,221,221,169,349,221
276,Tim Patrick,DEN,11,27,WR,WR108,222,222,222,162.1,298,222
277,Tyron Johnson,JAX,8,25,WR,WR109,223,223,223,207,288,223
278,Boston Scott,PHI,14,26,RB,RB71,224,224,224,151.6,313,224
279,Tyrod Taylor,HOU,10,32,QB,QB33,225,225,225,202,317,225
